Code,Description,Category,Price Excl.,Price Incl.,Avg Cost,Last Cost,Qty On Hand,Active
F0781-12050I,M12 x 50 Set Screw High Tensile Grade 8.8 E/G ISO,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0782-12050,M12 x 50 Set Screw High Tensile Grade 8.8 HDG,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0770-12050,M12 x 50 Set Screw High Tensile Grade 8.8 S/C DIN933,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0780-12050,M12 x 50 Set Screw High Tensile Grade 8.8 S/C ISO4017,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0783-12050,M12 x 50 Set Screw High Tensile Grade 8.8 Y/P,Fastners,0.0000,0.0000,4.0500,4.0500,300.0000,Yes
F0751-12050,M12 x 50 Set Screw Mild Steel Grade 4.8 E/G DIN,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0761-12050,M12 x 50 Set Screw Mild Steel Grade 4.8 E/G ISO,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0762-12050,M12 x 50 Set Screw Mild Steel Grade 4.8 HDG,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0760-12050,M12 x 50 Set Screw Mild Steel Grade 4.8 S/C,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0763-12050,M12 x 50 Set Screw Mild Steel Grade 4.8 Y/P,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0850-12050,M12 x 50 Set Screw Stainless Steel Grade 304 (A2),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0860-12050,M12 x 50 Set Screw Stainless Steel Grade 316 (A4),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4521-12050,M12 x 50 Socket Head Cap Screw Gr 12.9 E/G DIN912 (NOT CERTIFIED),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4533-12050,M12 x 50 Socket Head Cap Screw Gr 12.9 HDG,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4520-12050,M12 x 50 Socket Head Cap Screw Gr 12.9 S/C DIN912,Fastners,0.0000,0.0000,2.8500,2.8500,-1060.0000,Yes
F4540-12050,M12 x 50 Socket Head Cap Screw St/St 304(A2) DIN912,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4541-12050,M12 x 50 Socket Head Cap Screw St/St 316(A4) DIN912,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5500-12050,M12 X 50 Straight-Type Spring Pin ISO8752 (Roll Pin - Sellok),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0551-12050125,M12 x 50 x 1.25 Bolt High Tensile Grade 8.8 E/G Metric Fine,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0801-12050125,M12 x 50 x 1.25 Set Screw HT Grade 8.8 E/G DIN961 Metric Fine,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0551-1205015,M12 x 50 x 1.5 Bolt High Tensile Grade 8.8 E/G Metric Fine,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0801-1205015,M12 x 50 x 1.5 Set Screw HT Grade 8.8 E/G DIN961 Metric Fine,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4532-12050150,M12 x 50 x 1.5 Socket Head Cap Screw Gr 12.9 S/C DIN912 Metric Fine,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1641-125016,M12 x 50 x 1.6 Special Washer E/G,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1641-125040,M12 x 50 x 4.0 Special Washer E/G,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1644-125045,M12 x 50 x 4.5 Special Washer St/St A2,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1641-125050,M12 x 50 x 5.0 Special Washer E/G,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F8801-12050,M12 x 50NB U-Bolt Mild Steel E/G (for Steel Pipes) c/w 2 nuts & 2 Washers,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F8802-12050,M12 x 50NB U-Bolt Mild Steel HDG (for Steel Pipes) c/w 2 nuts & 2 Washers,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F8805-12050,M12 x 50NB U-Bolt Stainless Steel Gr 304 (A2) (for Steel Pipes) c/w 2 nuts & 2 Washers,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F8821-120050,M12 x 50OD U-Bolt Mild Steel E/G (for HDPE Pipes) c/w 2 nuts & 2 Washers,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0540-12055,M12 x 55 Bolt High Tensile Grade 10.9 S/C,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0531-12055,M12 x 55 Bolt High Tensile Grade 8.8 E/G DIN,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0532-12055,M12 x 55 Bolt High Tensile Grade 8.8 HDG,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0530-12055,M12 x 55 Bolt High Tensile Grade 8.8 S/C ISO4014,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0600-12055,M12 x 55 Bolt Stainless Steel Grade 304 (A2),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0610-12055,M12 x 55 Bolt Stainless Steel Grade 316 (A4),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4591-12055,M12 x 55 Countersunk Cap Screw Gr 10.9 E/G DIN7991 (NOT CERTIFIED),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4592-12055,M12 x 55 Countersunk Cap Screw Gr 10.9 HDG DIN7991 (NOT CERTIFIED),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4590-12055,M12 x 55 Countersunk Cap Screw Gr 10.9 S/C DIN7991,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4600-12055,M12 x 55 Countersunk Cap Screw St/St 304(A2) DIN7991,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
